depth,mean_depth,volume,surface
10.0,10.000001313169275,3580138575210496.0,358013800000000.0
20.0,20.00000262633855,7160277150420992.0,358013800000000.0
30.0,29.906398029235646,1.0706903517008896e+16,358013800000000.0
40.0,39.75043229911857,1.4231203736738816e+16,358013800000000.0
50.0,49.52897677645463,1.7732057706289664e+16,358013800000000.0
60.0,59.24906457371725,2.121198337705779e+16,358013800000000.0
70.0,68.92434932999801,2.4675868940401664e+16,358013800000000.0
80.0,78.57494947673842,2.8130917072623104e+16,358013800000000.0
90.0,88.21419040054994,3.158189844615936e+16,358013800000000.0
100.0,97.90124749937297,3.504999867071539e+16,358013800000000.0
110.0,107.75355360160522,3.857726032066458e+16,358013800000000.0
121.0,118.04033358880747,4.226006962173798e+16,358013800000000.0
133.0,129.2173444889418,4.626159388418202e+16,358013800000000.0
146.0,141.94283101232503,5.081749380498381e+16,358013800000000.0
162.0,157.12158933093997,5.625169890940774e+16,358013800000000.0
182.0,175.82877254904275,6.294912885718784e+16,358013800000000.0
207.0,199.22134099509333,7.132399142412237e+16,358013800000000.0
238.0,228.4036716442489,8.177166881932442e+16,358013800000000.0
276.0,264.3355645011068,9.463578269976525e+16,358013800000000.0
323.0,307.6330759126356,1.101368897457106e+17,358013800000000.0
378.0,358.6201726172605,1.2839097452366182e+17,358013800000000.0
441.0,417.2578482358653,1.4938407221119744e+17,358013800000000.0
513.0,483.0632682653992,1.729433213880356e+17,358013800000000.0
592.0,555.2251340672314,1.987782659371003e+17,358013800000000.0
677.0,632.7517479687807,2.265338643957591e+17,358013800000000.0
767.0,714.5322905231443,2.5581242806104013e+17,358013800000000.0
861.0,799.3497602800502,2.8617825360633805e+17,358013800000000.0
958.0,886.2068606236509,3.172742950700068e+17,358013800000000.0
1056.0,974.2727765994877,3.4880310922437376e+17,358013800000000.0
1155.0,1062.8698738956282,3.805220936272932e+17,358013800000000.0
1255.0,1151.8406810521547,4.123748713213537e+17,358013800000000.0
1356.0,1241.6048263043679,4.4451167501007206e+17,358013800000000.0
1461.0,1333.77340105856,4.7750929766689126e+17,358013800000000.0
1572.0,1431.5300563225892,5.125075303204613e+17,358013800000000.0
1695.0,1538.7426800218866,5.508911302655831e+17,358013800000000.0
1834.0,1659.4985183686965,5.941233880931855e+17,358013800000000.0
1993.0,1796.5850200722584,6.432022489372585e+17,358013800000000.0
2174.0,1950.9240551882735,6.984577550092365e+17,358013800000000.0
2378.0,2122.7491498897784,7.599735119041818e+17,358013800000000.0
2604.0,2311.2448721157443,8.274575836827151e+17,358013800000000.0
2854.0,2514.783112718737,9.003270847850409e+17,358013800000000.0
3126.0,2730.0878853809936,9.77409166866366e+17,358013800000000.0
3422.0,2951.103126430907,1.0565356754949402e+18,358013800000000.0
3740.0,3170.05522654937,1.1349235511770312e+18,358013800000000.0
4082.0,3375.922786198489,1.208626980666949e+18,358013800000000.0
4446.0,3556.845642370848,1.2733998618131656e+18,358013800000000.0
4834.0,3700.2821536259867,1.3247521137735593e+18,358013800000000.0
5244.0,3800.588116556723,1.3606630337790438e+18,358013800000000.0
5678.0,3847.6792343773645,1.3775223043110825e+18,358013800000000.0
6134.0,3857.1077680965222,1.3808978495953792e+18,358013800000000.0
